window,freq,count,growth,GLD,BND,IGV,VDC,SOCL,IHF,IYZ,XOM,BUYING_POWER
14,window,170,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,171,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,172,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,173,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,174,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,175,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,176,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,177,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,178,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,179,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,180,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,181,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,182,0.13248644700886847,0.0,0.2262095737131737,0.01754893377427283,0.3175809153592305,0.0,0.1084575913941802,0.0,0.08020298575914266,0.25
14,window,183,0.13248644700886847,0.5843079757400446,0.0275631791864198,0.0400351394892642,0.0,0.0,0.04824444900673384,0.04984925657753753,0.0,0.25
14,window,184,0.13248644700886847,0.5843079757400446,0.0275631791864198,0.0400351394892642,0.0,0.0,0.04824444900673384,0.04984925657753753,0.0,0.25
14,window,185,0.13248644700886847,0.5843079757400446,0.0275631791864198,0.0400351394892642,0.0,0.0,0.04824444900673384,0.04984925657753753,0.0,0.25
14,window,186,0.13248644700886847,0.5843079757400446,0.0275631791864198,0.0400351394892642,0.0,0.0,0.04824444900673384,0.04984925657753753,0.0,0.25
